Time (s),Frame Length,Direction,Interarrival
0.0,68,0,0.0
0.005905,68,0,0.005905
0.020194,68,0,0.014289
0.020203,68,0,8.999999999998592e-06
0.058947,131,0,0.038744
2.252916,76,1,2.193969
2.252925,76,-1,8.999999999925734e-06
2.252932,68,1,7.000000000090267e-06
2.261462,32836,-1,0.008529999999999927
2.261477,68,1,1.5000000000320313e-05
2.261488,32836,-1,1.09999999997612e-05
2.26152,68,1,3.2000000000032e-05
2.26156,32836,-1,3.999999999981796e-05
2.261566,32836,-1,6.000000000394579e-06
2.261628,68,1,6.199999999978445e-05
2.261643,32836,-1,1.4999999999876223e-05
2.261646,68,1,2.9999999999752447e-06
2.26165,32836,-1,4.000000000115023e-06
2.261655,68,1,5.000000000254801e-06
2.261657,32836,-1,1.9999999998354667e-06
2.26166,68,1,2.9999999999752447e-06
2.261664,32836,-1,4.000000000115023e-06
2.261667,68,1,2.9999999999752447e-06
2.261671,32836,-1,4.000000000115023e-06
2.261674,68,1,2.9999999999752447e-06
2.261678,32836,-1,3.9999999996709334e-06
2.261685,32836,-1,7.000000000090267e-06
2.261687,68,1,1.9999999998354667e-06
2.261689,68,1,2.000000000279556e-06
2.261691,32836,-1,1.9999999998354667e-06
2.261697,32836,-1,5.999999999950489e-06
2.261698,68,1,1.000000000139778e-06
2.261702,32836,-1,4.000000000115023e-06
2.261703,68,1,9.999999996956888e-07
2.261708,68,1,5.000000000254801e-06
2.261708,32836,-1,0.0
2.261712,68,1,4.000000000115023e-06
2.261714,32836,-1,1.9999999998354667e-06
2.261717,68,1,2.9999999999752447e-06
2.261721,32836,-1,4.000000000115023e-06
2.261723,68,1,1.9999999998354667e-06
2.261727,32836,-1,4.000000000115023e-06
2.26173,68,1,2.9999999999752447e-06
2.261734,32836,-1,4.000000000115023e-06
2.261736,68,1,1.9999999998354667e-06
2.261743,32836,-1,7.000000000090267e-06
2.261746,68,1,2.9999999999752447e-06
2.26175,32836,-1,4.000000000115023e-06
2.261753,68,1,2.9999999999752447e-06
2.261757,32836,-1,3.9999999996709334e-06
2.261763,32836,-1,6.000000000394579e-06
2.261769,32836,-1,5.999999999950489e-06
2.261775,32836,-1,5.999999999950489e-06
2.261776,68,1,9.999999996956888e-07
2.261782,32836,-1,6.000000000394579e-06
2.261787,32836,-1,4.999999999810711e-06
2.261793,32836,-1,5.999999999950489e-06
2.261794,68,1,1.000000000139778e-06
2.261795,68,1,1.000000000139778e-06
2.261799,32836,-1,3.9999999996709334e-06
