Time (s),Frame Length,Direction,Interarrival
0.0,96,0,0.0
9e-06,96,0,9e-06
0.000114,160,0,0.000105
0.000144,208,0,2.9999999999999997e-05
1.753376,96,0,1.7532320000000001
1.753384,96,0,8.000000000008e-06
1.753483,160,0,9.899999999984921e-05
1.753527,208,0,4.4000000000155026e-05
1.772358,74,1,0.018831000000000042
1.772365,74,-1,6.999999999868223e-06
1.772371,66,1,5.999999999950489e-06
1.774531,32834,-1,0.002160000000000162
1.774541,66,1,9.999999999843467e-06
1.774551,32834,-1,1.0000000000065512e-05
1.77462,66,1,6.900000000009676e-05
1.774628,32834,-1,8.000000000008e-06
1.774631,32834,-1,2.9999999999752447e-06
1.774648,66,1,1.6999999999933735e-05
1.774652,32834,-1,3.999999999892978e-06
1.774655,32834,-1,3.0000000001972893e-06
1.774705,66,1,4.999999999988347e-05
1.774707,8665,-1,2.0000000000575113e-06
1.774709,66,1,2.0000000000575113e-06
2.976924,32834,1,1.2022149999999998
2.976936,66,-1,1.1999999999900979e-05
2.976946,32834,1,1.0000000000065512e-05
2.977091,66,-1,0.0001450000000002838
2.977158,32834,1,6.700000000003925e-05
2.977166,32834,1,7.999999999785956e-06
2.977243,66,-1,7.700000000010476e-05
2.977255,32834,1,1.1999999999900979e-05
2.97726,32834,1,4.999999999810711e-06
2.977269,66,-1,9.000000000369823e-06
2.977274,32834,1,4.999999999810711e-06
2.977278,32834,1,4.000000000115023e-06
2.977282,32834,1,4.000000000115023e-06
2.977286,32834,1,3.9999999996709334e-06
2.97731,66,-1,2.4000000000246047e-05
2.977315,32834,1,4.999999999810711e-06
2.977319,32834,1,4.000000000115023e-06
2.977323,32834,1,4.000000000115023e-06
2.977325,32834,1,1.9999999998354667e-06
2.977328,32834,1,2.9999999999752447e-06
2.977341,66,-1,1.3000000000040757e-05
2.977345,32834,1,4.000000000115023e-06
2.977348,32834,1,2.9999999999752447e-06
2.977351,32834,1,2.9999999999752447e-06
2.97736,66,-1,8.999999999925734e-06
2.977364,32834,1,4.000000000115023e-06
2.977368,32834,1,3.9999999996709334e-06
2.977374,66,-1,6.000000000394579e-06
2.977379,32834,1,4.999999999810711e-06
2.977383,32834,1,4.000000000115023e-06
2.97739,66,-1,7.000000000090267e-06
2.977393,32834,1,2.9999999999752447e-06
2.977396,32834,1,2.9999999999752447e-06
