Time (s),Frame Length,Direction,Interarrival
0.0,68,0,0.0
0.005012,68,0,0.005012
0.005042,68,0,2.9999999999999645e-05
0.006266,68,0,0.0012240000000000003
2.715474,98,0,2.709208
2.715481,98,0,7.000000000090267e-06
2.715644,162,0,0.00016300000000013526
2.715677,210,0,3.299999999972769e-05
2.715773,76,0,9.600000000009601e-05
2.721689,76,0,0.005916000000000032
2.721729,68,0,3.999999999981796e-05
2.721996,585,0,0.0002670000000000172
2.725909,68,0,0.003913000000000277
2.733992,5497,0,0.008083000000000062
2.734005,68,0,1.2999999999596668e-05
2.735064,132,0,0.0010590000000001432
2.735102,265,0,3.799999999998249e-05
2.738194,68,0,0.0030920000000000947
2.738194,68,0,0.0
2.804138,990,0,0.065944
2.804686,4400,0,0.0005479999999997709
2.804686,1512,0,0.0
2.8047,80,0,1.4000000000180535e-05
2.804713,80,0,1.3000000000040757e-05
2.805401,2956,0,0.0006879999999997999
2.805401,1512,0,0.0
2.805401,1512,0,0.0
2.805402,4400,0,1.000000000139778e-06
2.805402,2956,0,0.0
2.805414,80,0,1.1999999999900979e-05
2.805422,80,0,8.000000000230045e-06
2.805429,80,0,7.000000000090267e-06
2.805436,80,0,6.999999999646178e-06
2.805442,80,0,6.000000000394579e-06
2.805474,1512,0,3.1999999999587914e-05
2.805474,2956,0,0.0
2.805474,10176,0,0.0
2.805482,80,0,8.000000000230045e-06
2.805486,80,0,4.000000000115023e-06
2.805491,68,0,4.999999999810711e-06
2.805503,4400,0,1.1999999999900979e-05
2.805569,68,0,6.600000000034356e-05
2.806475,4400,0,0.0009059999999996293
2.806479,68,0,4.000000000115023e-06
2.808631,3981,0,0.002152000000000154
2.808639,68,0,7.999999999785956e-06
2.808942,68,0,0.00030300000000016425
4.260925,98,0,1.4519830000000002
4.260932,98,0,7.000000000090267e-06
4.261101,162,0,0.00016899999999964166
4.261144,210,0,4.2999999999793204e-05
4.261264,76,0,0.00011999999999989797
4.267578,76,0,0.006314000000000597
4.267607,68,0,2.899999999961267e-05
4.267822,585,0,0.0002149999999998542
4.271833,68,0,0.004011000000000209
4.275323,5497,0,0.003490000000000215
4.275332,68,0,8.999999999481645e-06
4.276442,132,0,0.0011100000000006105
4.276481,265,0,3.900000000012227e-05
4.279373,68,0,0.0028919999999992285
4.279373,68,0,0.0
4.285445,16709,0,0.006072000000000521
4.285485,20284,0,4.000000000026205e-05
4.285506,5844,0,2.0999999999382624e-05
4.285532,68,0,2.6000000000081513e-05
4.28858,4167,0,0.0030479999999997176
4.288598,68,0,1.8000000000739647e-05
4.288842,68,0,0.00024399999999946687
4.295736,76,1,0.006893999999999956
4.295744,76,-1,8.000000000230045e-06
4.295751,68,1,7.000000000090267e-06
4.303642,32836,-1,0.00789099999999987
4.303649,68,1,7.000000000090267e-06
4.303658,32836,-1,9.000000000369823e-06
4.303774,68,1,0.00011599999999933885
4.303796,32836,-1,2.200000000041058e-05
4.303804,32836,-1,8.000000000230045e-06
4.303822,68,1,1.7999999999851468e-05
4.303886,32836,-1,6.4000000000064e-05
4.303892,32836,-1,5.999999999950489e-06
4.303898,68,1,5.999999999950489e-06
4.303899,68,1,1.000000000139778e-06
4.303936,32836,-1,3.6999999999842714e-05
4.30394,68,1,3.9999999996709334e-06
4.303944,32836,-1,4.000000000559112e-06
4.303947,68,1,2.9999999995311555e-06
4.303951,32836,-1,3.9999999996709334e-06
4.303954,68,1,3.000000000419334e-06
4.303958,32836,-1,3.9999999996709334e-06
4.303963,32836,-1,5.00000000069889e-06
4.303971,32836,-1,7.999999999341867e-06
4.303976,32836,-1,4.999999999810711e-06
4.303985,32836,-1,9.000000000369823e-06
4.30399,68,1,4.999999999810711e-06
4.303991,32836,-1,1.000000000139778e-06
4.303991,68,1,0.0
4.303992,68,1,1.000000000139778e-06
4.303994,68,1,2.000000000279556e-06
4.303995,68,1,9.999999992515995e-07
4.303996,68,1,1.000000000139778e-06
4.303996,32836,-1,0.0
4.304002,32836,-1,5.999999999950489e-06
4.304008,32836,-1,5.999999999950489e-06
4.304013,32836,-1,5.00000000069889e-06
4.30402,32836,-1,7.000000000090267e-06
4.304026,32836,-1,5.999999999950489e-06
4.304031,32836,-1,4.999999999810711e-06
4.304037,32836,-1,5.999999999950489e-06
4.304042,32836,-1,4.999999999810711e-06
4.304048,32836,-1,5.999999999950489e-06
4.304054,32836,-1,5.999999999950489e-06
4.304054,68,1,0.0
4.304055,68,1,1.000000000139778e-06
4.304057,68,1,2.000000000279556e-06
4.304058,68,1,1.000000000139778e-06
4.304059,68,1,9.999999992515995e-07
4.304059,32836,-1,0.0
4.30406,68,1,1.000000000139778e-06
4.304062,68,1,2.000000000279556e-06
4.304063,68,1,1.000000000139778e-06
4.304064,68,1,1.000000000139778e-06
4.304065,68,1,9.999999992515995e-07
4.304065,32836,-1,0.0
