Time (s),Frame Length,Direction,Interarrival
0.0,74,1,0.0
1.2e-05,74,-1,1.2e-05
1.9e-05,66,1,7.000000000000001e-06
0.012605,32834,-1,0.012586
0.012615,66,1,9.999999999999593e-06
0.012626,32834,-1,1.1000000000000593e-05
0.012719,66,1,9.299999999999933e-05
0.012782,32834,-1,6.300000000000056e-05
0.012788,32834,-1,6.000000000000796e-06
0.012844,66,1,5.599999999999876e-05
0.012881,32834,-1,3.7000000000000574e-05
0.012886,66,1,4.999999999999796e-06
0.01289,32834,-1,4.000000000000531e-06
0.012893,66,1,2.999999999999531e-06
0.012897,32834,-1,4.000000000000531e-06
0.012901,66,1,3.999999999998796e-06
0.012905,32834,-1,4.000000000000531e-06
0.012908,66,1,2.999999999999531e-06
0.012912,32834,-1,4.000000000000531e-06
0.012915,66,1,2.999999999999531e-06
0.012919,32834,-1,4.000000000000531e-06
0.012922,66,1,2.999999999999531e-06
0.012925,32834,-1,3.0000000000012655e-06
0.012929,66,1,3.999999999998796e-06
0.012933,32834,-1,4.000000000000531e-06
0.012936,66,1,2.999999999999531e-06
0.01294,32834,-1,4.000000000000531e-06
0.012943,66,1,2.999999999999531e-06
0.012946,32834,-1,2.999999999999531e-06
0.012949,66,1,3.0000000000012655e-06
0.012953,32834,-1,3.999999999998796e-06
0.012961,32834,-1,8.000000000001062e-06
0.012966,32834,-1,4.999999999999796e-06
0.012972,32834,-1,5.999999999999062e-06
0.012978,32834,-1,6.000000000000796e-06
0.012985,32834,-1,7.000000000000062e-06
0.012992,32834,-1,7.000000000000062e-06
0.012998,32834,-1,5.999999999999062e-06
0.012998,66,1,0.0
0.013003,66,1,5.000000000001531e-06
0.013004,32834,-1,9.999999999992654e-07
0.013005,66,1,9.999999999992654e-07
0.013007,66,1,2.0000000000002655e-06
0.013008,66,1,1.000000000001e-06
0.01301,32834,-1,2.0000000000002655e-06
0.01301,66,1,0.0
0.013012,66,1,1.9999999999985307e-06
0.013013,66,1,1.000000000001e-06
0.013015,66,1,2.0000000000002655e-06
0.013016,32834,-1,9.999999999992654e-07
0.013017,66,1,1.000000000001e-06
0.013022,32834,-1,4.999999999999796e-06
0.013029,32834,-1,7.000000000000062e-06
0.013036,32834,-1,7.000000000000062e-06
0.013042,32834,-1,5.999999999999062e-06
0.013047,32834,-1,4.999999999999796e-06
0.013051,32834,-1,4.000000000000531e-06
0.013055,66,1,4.000000000000531e-06
0.013057,32834,-1,1.9999999999985307e-06
0.013057,66,1,0.0
0.013058,66,1,1.000000000001e-06
0.013065,32834,-1,7.000000000000062e-06
0.013069,32834,-1,4.000000000000531e-06
0.013073,32834,-1,3.999999999998796e-06
0.013107,65549,-1,3.400000000000104e-05
0.013169,65549,-1,6.199999999999956e-05
0.013176,66,1,7.000000000000062e-06
0.013178,66,1,2.0000000000002655e-06
0.0132,66,1,2.199999999999945e-05
0.013201,65549,-1,9.999999999992654e-07
0.013202,66,1,1.000000000001e-06
0.013283,65549,-1,8.099999999999948e-05
0.013287,66,1,4.000000000000531e-06
0.013291,65549,-1,4.000000000000531e-06
0.013309,65549,-1,1.799999999999892e-05
0.013359,65549,-1,4.99999999999997e-05
0.013385,65549,-1,2.599999999999998e-05
0.013431,65549,-1,4.60000000000009e-05
0.013455,65549,-1,2.3999999999999716e-05
0.013486,65549,-1,3.099999999999978e-05
0.013511,65549,-1,2.5000000000000716e-05
0.013567,65549,-1,5.599999999999876e-05
0.013572,66,1,5.000000000001531e-06
0.013585,65549,-1,1.2999999999999123e-05
0.013595,66,1,9.999999999999593e-06
0.013602,65549,-1,7.000000000000062e-06
0.013606,66,1,4.000000000000531e-06
0.013624,65549,-1,1.8000000000000654e-05
0.013643,65549,-1,1.899999999999992e-05
0.013662,65549,-1,1.899999999999992e-05
0.013681,65549,-1,1.899999999999992e-05
0.013698,65549,-1,1.6999999999999654e-05
0.013717,65549,-1,1.899999999999992e-05
0.013738,65549,-1,2.1000000000000185e-05
0.013752,65549,-1,1.4000000000000123e-05
0.013766,65549,-1,1.4000000000000123e-05
0.013778,65549,-1,1.1999999999999858e-05
0.013819,65549,-1,4.099999999999937e-05
0.013833,65549,-1,1.4000000000000123e-05
0.013847,65549,-1,1.4000000000000123e-05
0.013889,65549,-1,4.200000000000037e-05
0.013913,65549,-1,2.3999999999999716e-05
0.013964,65549,-1,5.10000000000007e-05
0.013986,65549,-1,2.199999999999945e-05
0.014039,65549,-1,5.299999999999923e-05
0.014064,65549,-1,2.5000000000000716e-05
0.014081,65549,-1,1.6999999999999654e-05
0.014097,65549,-1,1.600000000000039e-05
0.014155,66,1,5.7999999999999025e-05
0.014236,65549,-1,8.100000000000121e-05
0.014247,66,1,1.0999999999998858e-05
0.014258,65549,-1,1.1000000000000593e-05
0.014261,66,1,2.999999999999531e-06
0.014279,65549,-1,1.8000000000000654e-05
0.014299,65549,-1,1.9999999999999185e-05
0.014319,65549,-1,2.000000000000092e-05
0.01434,65549,-1,2.1000000000000185e-05
0.014358,65549,-1,1.799999999999892e-05
0.014377,65549,-1,1.899999999999992e-05
0.014396,65549,-1,1.9000000000001654e-05
0.014414,65549,-1,1.799999999999892e-05
0.014433,65549,-1,1.899999999999992e-05
0.014452,65549,-1,1.899999999999992e-05
0.01447,65549,-1,1.8000000000000654e-05
0.014487,65549,-1,1.6999999999999654e-05
0.014507,65549,-1,2.000000000000092e-05
0.014521,65549,-1,1.3999999999998389e-05
0.014534,65549,-1,1.3000000000000858e-05
0.014548,65549,-1,1.4000000000000123e-05
0.014562,65549,-1,1.4000000000000123e-05
0.014576,65549,-1,1.4000000000000123e-05
0.01459,65549,-1,1.4000000000000123e-05
0.014605,65549,-1,1.4999999999999389e-05
0.01464,65549,-1,3.500000000000031e-05
0.014656,65549,-1,1.600000000000039e-05
0.01467,65549,-1,1.4000000000000123e-05
0.014732,65549,-1,6.199999999999956e-05
0.01475,65549,-1,1.799999999999892e-05
0.014771,65549,-1,2.1000000000000185e-05
0.014803,65549,-1,3.200000000000078e-05
0.014821,65549,-1,1.8000000000000654e-05
0.01484,65549,-1,1.899999999999992e-05
0.01487,65549,-1,2.9999999999998778e-05
0.014902,65549,-1,3.200000000000078e-05
0.014947,65549,-1,4.49999999999999e-05
0.014963,53385,-1,1.600000000000039e-05
0.015088,66,1,0.0001250000000000001
0.015162,66,1,7.399999999999941e-05
2.047617,74,1,2.0324549999999997
2.047627,74,-1,1.0000000000065512e-05
2.047634,66,1,7.000000000090267e-06
16.435619,32834,1,14.387984999999999
16.435632,66,-1,1.2999999999152578e-05
16.435641,32834,1,9.00000000214618e-06
16.43582,66,-1,0.00017899999999926308
16.435841,32834,1,2.1000000000270802e-05
16.435848,32834,1,7.000000000090267e-06
16.435952,66,-1,0.00010400000000032605
16.43599,32834,1,3.799999999998249e-05
16.435994,66,-1,4.000000000559112e-06
16.435998,32834,1,4.000000000559112e-06
16.436001,66,-1,2.9999999995311555e-06
16.436006,32834,1,4.9999999980343546e-06
16.436009,66,-1,2.9999999995311555e-06
16.436013,32834,1,4.000000000559112e-06
16.436016,66,-1,2.9999999995311555e-06
16.436019,32834,1,3.000000003083869e-06
16.436022,66,-1,2.9999999995311555e-06
16.436026,32834,1,3.999999997006398e-06
16.436028,66,-1,2.0000000020559128e-06
16.436032,32834,1,4.000000000559112e-06
16.436035,66,-1,2.9999999995311555e-06
16.436039,32834,1,4.000000000559112e-06
16.436042,66,-1,2.9999999995311555e-06
16.436045,32834,1,2.9999999995311555e-06
16.436048,66,-1,2.9999999995311555e-06
16.436052,32834,1,4.000000000559112e-06
16.436054,66,-1,1.999999998503199e-06
16.436058,32834,1,4.000000000559112e-06
16.436066,32834,1,8.000000001118224e-06
16.436071,32834,1,4.9999999980343546e-06
16.436076,32834,1,5.000000001587068e-06
16.436082,32834,1,5.999999999062311e-06
16.436088,32834,1,6.000000002615025e-06
16.436093,32834,1,4.9999999980343546e-06
16.436098,32834,1,5.000000001587068e-06
16.436103,32834,1,4.9999999980343546e-06
16.436108,32834,1,5.000000001587068e-06
16.436113,32834,1,4.9999999980343546e-06
16.436118,32834,1,5.000000001587068e-06
16.436123,32834,1,4.9999999980343546e-06
16.436128,32834,1,5.000000001587068e-06
16.436133,32834,1,5.000000001587068e-06
16.436137,32834,1,3.999999997006398e-06
16.436141,32834,1,4.000000000559112e-06
16.436145,32834,1,4.000000000559112e-06
16.43621,66,-1,6.49999999993156e-05
16.436216,66,-1,6.000000002615025e-06
16.43622,66,-1,3.999999997006398e-06
16.436222,66,-1,2.0000000020559128e-06
16.436224,66,-1,1.999999998503199e-06
16.436227,66,-1,2.9999999995311555e-06
16.436229,66,-1,2.0000000020559128e-06
16.436231,66,-1,1.999999998503199e-06
16.436233,66,-1,2.0000000020559128e-06
16.436237,66,-1,3.999999997006398e-06
16.436294,32834,1,5.7000000001750095e-05
16.436299,32834,1,5.000000001587068e-06
16.436302,32834,1,2.9999999995311555e-06
16.436306,32834,1,3.999999997006398e-06
16.43631,32834,1,4.000000000559112e-06
16.436314,32834,1,4.000000000559112e-06
16.436318,32834,1,4.000000000559112e-06
16.436322,32834,1,4.000000000559112e-06
16.436326,32834,1,4.000000000559112e-06
16.43633,32834,1,4.000000000559112e-06
16.436334,32834,1,3.999999997006398e-06
16.436338,32834,1,4.000000000559112e-06
16.436343,32834,1,5.000000001587068e-06
16.436347,32834,1,4.000000000559112e-06
16.436351,32834,1,3.999999997006398e-06
16.436355,32834,1,4.000000000559112e-06
16.436359,32834,1,4.000000000559112e-06
16.436509,66,-1,0.00015000000000142677
16.436512,66,-1,2.9999999995311555e-06
16.436519,32834,1,7.000000000090267e-06
16.436525,32834,1,5.999999999062311e-06
16.436529,32834,1,4.000000000559112e-06
16.436534,32834,1,5.000000001587068e-06
16.436538,32834,1,3.999999997006398e-06
16.436542,32834,1,4.000000000559112e-06
16.436546,32834,1,4.000000000559112e-06
16.436551,32834,1,5.000000001587068e-06
16.436556,32834,1,4.9999999980343546e-06
16.436791,66,-1,0.00023499999999998522
16.436805,32834,1,1.4000000000180535e-05
16.436811,32834,1,5.999999999062311e-06
16.436815,32834,1,4.000000000559112e-06
16.436819,32834,1,4.000000000559112e-06
16.436823,32834,1,4.000000000559112e-06
16.436828,32834,1,4.9999999980343546e-06
16.436833,32834,1,5.000000001587068e-06
16.436839,32834,1,5.999999999062311e-06
16.436843,32834,1,4.000000000559112e-06
16.436848,32834,1,5.000000001587068e-06
16.436852,32834,1,3.999999997006398e-06
16.436856,32834,1,4.000000000559112e-06
16.43686,32834,1,4.000000000559112e-06
16.436865,32834,1,5.000000001587068e-06
16.436871,32834,1,5.999999999062311e-06
16.436875,32834,1,4.000000000559112e-06
16.436879,32834,1,4.000000000559112e-06
16.436885,32834,1,5.999999999062311e-06
16.436892,65549,1,7.000000000090267e-06
16.436901,65549,1,8.999999998593466e-06
16.437388,66,-1,0.00048699999999968213
16.437409,65549,1,2.1000000000270802e-05
16.43742,65549,1,1.100000000064938e-05
16.437429,65549,1,9.00000000214618e-06
16.43745,65549,1,2.099999999671809e-05
16.437459,65549,1,9.00000000214618e-06
16.437468,65549,1,8.999999998593466e-06
16.437476,65549,1,8.000000001118224e-06
16.437485,65549,1,8.999999998593466e-06
16.437495,65549,1,9.999999999621423e-06
16.437504,65549,1,9.00000000214618e-06
16.437515,65549,1,1.100000000064938e-05
16.437521,65549,1,5.999999999062311e-06
16.437534,65549,1,1.2999999999152578e-05
16.437541,65549,1,7.000000000090267e-06
16.437546,65549,1,5.000000001587068e-06
16.437552,65549,1,5.999999999062311e-06
16.437559,65549,1,7.000000000090267e-06
16.437566,65549,1,7.000000000090267e-06
16.437574,65549,1,8.000000001118224e-06
16.437581,65549,1,7.000000000090267e-06
16.437588,65549,1,7.000000000090267e-06
16.437595,65549,1,7.000000000090267e-06
16.437601,65549,1,5.999999999062311e-06
16.437608,65549,1,7.000000000090267e-06
16.439783,66,-1,0.0021749999999975955
16.439806,65549,1,2.3000000002326715e-05
16.439815,65549,1,8.999999998593466e-06
16.439821,65549,1,5.999999999062311e-06
16.439827,65549,1,6.000000002615025e-06
16.439833,65549,1,5.999999999062311e-06
16.439839,65549,1,5.999999999062311e-06
16.439844,65549,1,5.000000001587068e-06
16.43985,65549,1,5.999999999062311e-06
16.439856,65549,1,5.999999999062311e-06
16.439863,65549,1,7.000000000090267e-06
16.43987,65549,1,7.000000000090267e-06
16.439877,65549,1,7.000000000090267e-06
16.439887,65549,1,9.999999999621423e-06
16.439898,65549,1,1.100000000064938e-05
16.439904,65549,1,5.999999999062311e-06
16.439911,65549,1,7.000000000090267e-06
16.439918,65549,1,7.000000000090267e-06
16.439924,65549,1,6.000000002615025e-06
16.439932,65549,1,7.99999999756551e-06
16.439938,65549,1,6.000000002615025e-06
16.439944,65549,1,5.999999999062311e-06
16.439951,65549,1,7.000000000090267e-06
16.439958,65549,1,7.000000000090267e-06
16.439964,65549,1,5.999999999062311e-06
16.43997,65549,1,5.999999999062311e-06
16.442302,66,-1,0.0023320000000026653
16.442326,65549,1,2.3999999999801958e-05
16.442333,65549,1,7.000000000090267e-06
16.442339,65549,1,5.999999999062311e-06
16.442346,65549,1,7.000000000090267e-06
16.442553,65549,1,0.00020699999999962415
16.442352,65549,1,-0.00020100000000056184
16.442358,65549,1,5.999999999062311e-06
16.442365,65549,1,7.000000000090267e-06
16.442371,65549,1,6.000000002615025e-06
16.442571,65549,1,0.00019999999999953388
16.442377,65549,1,-0.00019400000000047157
16.442385,65549,1,8.000000001118224e-06
16.442395,65549,1,9.999999999621423e-06
16.442402,65549,1,7.000000000090267e-06
16.442409,65549,1,7.000000000090267e-06
16.442415,65549,1,5.999999999062311e-06
16.442422,65549,1,7.000000000090267e-06
16.442428,65549,1,5.999999999062311e-06
16.442436,65549,1,8.000000001118224e-06
16.442444,65549,1,7.99999999756551e-06
16.442451,65549,1,7.000000000090267e-06
16.442459,65549,1,8.000000001118224e-06
16.442467,65549,1,8.000000001118224e-06
16.442475,65549,1,8.000000001118224e-06
16.442649,78,-1,0.00017399999999767601
16.442651,78,-1,2.0000000020559128e-06
16.442653,78,-1,1.999999998503199e-06
16.442654,78,-1,1.0000000010279564e-06
16.442656,78,-1,1.999999998503199e-06
16.442657,78,-1,1.0000000010279564e-06
16.442659,78,-1,1.999999998503199e-06
16.44266,78,-1,1.0000000010279564e-06
16.442662,78,-1,1.999999998503199e-06
16.442663,78,-1,1.0000000010279564e-06
16.442665,78,-1,2.0000000020559128e-06
16.442666,78,-1,9.999999974752427e-07
16.442668,78,-1,2.0000000020559128e-06
16.442669,78,-1,9.999999974752427e-07
16.44267,78,-1,1.0000000010279564e-06
16.442672,78,-1,2.0000000020559128e-06
16.442674,78,-1,1.999999998503199e-06
16.442675,78,-1,1.0000000010279564e-06
16.442677,78,-1,1.999999998503199e-06
16.442678,78,-1,1.0000000010279564e-06
16.44268,78,-1,1.999999998503199e-06
16.442681,78,-1,1.0000000010279564e-06
16.442683,78,-1,1.999999998503199e-06
16.442684,78,-1,1.0000000010279564e-06
16.442686,66,-1,1.999999998503199e-06
16.442692,65549,1,6.000000002615025e-06
16.442738,66,1,4.5999999997548e-05
16.442801,74,1,6.30000000008124e-05
16.442805,74,-1,4.000000000559112e-06
16.442809,66,1,4.000000000559112e-06
16.445439,66,-1,0.00262999999999991
16.527979,66,-1,0.08253999999999806
16.527989,66,1,1.0000000003174137e-05
16.533724,32834,-1,0.005734999999997825
16.533734,66,1,9.999999999621423e-06
16.533743,32834,-1,9.00000000214618e-06
16.533848,66,1,0.0001049999999978013
16.533888,32834,-1,4.0000000002038405e-05
16.533895,32834,-1,7.000000000090267e-06
16.533962,66,1,6.69999999978188e-05
16.533993,32834,-1,3.0999999999892225e-05
16.534,32834,-1,7.000000000090267e-06
16.534013,66,1,1.3000000002705292e-05
16.534075,32834,-1,6.199999999978445e-05
16.534079,66,1,3.999999997006398e-06
16.534083,32834,-1,4.000000000559112e-06
16.534086,66,1,2.9999999995311555e-06
16.534091,32834,-1,5.000000001587068e-06
16.534095,66,1,4.000000000559112e-06
16.534098,32834,-1,2.9999999995311555e-06
16.534101,66,1,2.9999999995311555e-06
16.534105,32834,-1,4.000000000559112e-06
16.534108,66,1,2.9999999995311555e-06
16.534111,32834,-1,2.9999999995311555e-06
16.534114,66,1,2.9999999995311555e-06
16.534117,32834,-1,2.9999999995311555e-06
16.534123,32834,-1,6.000000002615025e-06
16.534129,32834,-1,5.999999999062311e-06
16.534134,32834,-1,5.000000001587068e-06
16.53414,32834,-1,5.999999999062311e-06
16.534141,66,1,1.0000000010279564e-06
16.534144,66,1,2.9999999995311555e-06
16.534146,66,1,1.999999998503199e-06
16.534147,66,1,1.0000000010279564e-06
16.534147,32834,-1,0.0
16.534148,66,1,9.999999974752427e-07
16.534153,32834,-1,5.000000001587068e-06
16.534159,32834,-1,5.999999999062311e-06
