Time (s),Frame Length,Direction,Interarrival
0.0,75,0,0.0
2.8e-05,75,0,2.8e-05
0.001381,91,0,0.001353
0.00716,75,0,0.005778999999999999
0.007166,103,0,5.999999999999929e-06
0.460016,96,0,0.45285
0.460025,96,0,9.000000000036756e-06
0.460237,160,0,0.00021199999999998997
0.460295,208,0,5.8000000000002494e-05
1.603493,96,0,1.143198
1.603502,96,0,8.999999999925734e-06
1.603659,160,0,0.00015699999999996272
1.603706,208,0,4.700000000013027e-05
1.62341,74,1,0.019703999999999944
1.623417,74,-1,7.000000000090267e-06
1.623424,66,1,6.999999999868223e-06
1.629662,32834,-1,0.006237999999999966
1.62967,66,1,8.000000000008e-06
1.62968,32834,-1,1.0000000000065512e-05
1.629806,66,1,0.0001260000000000705
1.629828,32834,-1,2.199999999996649e-05
1.629835,32834,-1,6.999999999868223e-06
1.629856,66,1,2.1000000000048757e-05
1.629916,32834,-1,5.999999999994898e-05
1.629923,32834,-1,7.000000000090267e-06
1.629931,66,1,8.000000000008e-06
1.629932,66,1,9.999999999177334e-07
1.63001,32834,-1,7.80000000000225e-05
1.630014,66,1,4.000000000115023e-06
1.630023,32834,-1,8.999999999925734e-06
1.630029,32834,-1,5.999999999950489e-06
1.630035,32834,-1,5.999999999950489e-06
1.630036,66,1,1.000000000139778e-06
1.630038,66,1,2.0000000000575113e-06
1.63004,66,1,1.9999999998354667e-06
1.63004,32834,-1,0.0
1.630048,32834,-1,8.000000000008e-06
1.630053,32834,-1,5.000000000032756e-06
1.630059,32834,-1,5.999999999950489e-06
1.630064,32834,-1,5.000000000032756e-06
1.63007,32834,-1,5.999999999950489e-06
1.630076,32834,-1,6.000000000172534e-06
1.630076,66,1,0.0
1.630078,66,1,1.9999999998354667e-06
1.63008,66,1,2.0000000000575113e-06
1.630081,66,1,9.999999999177334e-07
1.630082,32834,-1,1.000000000139778e-06
1.630083,66,1,9.999999999177334e-07
1.630084,66,1,1.000000000139778e-06
1.630086,66,1,1.9999999998354667e-06
1.630087,66,1,1.000000000139778e-06
1.630088,32834,-1,9.999999999177334e-07
1.630093,32834,-1,5.000000000032756e-06
1.6301,32834,-1,7.000000000090267e-06
1.630105,32834,-1,4.999999999810711e-06
1.630111,32834,-1,6.000000000172534e-06
1.630116,32834,-1,4.999999999810711e-06
1.630122,32834,-1,6.000000000172534e-06
1.630128,32834,-1,5.999999999950489e-06
1.630134,32834,-1,5.999999999950489e-06
1.630139,32834,-1,5.000000000032756e-06
1.630145,32834,-1,5.999999999950489e-06
1.63015,32834,-1,5.000000000032756e-06
1.630154,32834,-1,4.000000000115023e-06
1.630159,32834,-1,4.999999999810711e-06
1.630163,32834,-1,4.000000000115023e-06
1.630167,32834,-1,3.999999999892978e-06
1.630171,32834,-1,4.000000000115023e-06
1.630173,66,1,2.0000000000575113e-06
1.630174,66,1,9.999999999177334e-07
1.630175,32834,-1,9.999999999177334e-07
1.630175,66,1,0.0
1.630177,66,1,2.0000000000575113e-06
1.630178,66,1,9.999999999177334e-07
1.630179,66,1,1.000000000139778e-06
1.63018,66,1,9.999999999177334e-07
1.630181,32834,-1,1.000000000139778e-06
1.630181,66,1,0.0
1.630185,32834,-1,3.999999999892978e-06
1.630189,32834,-1,4.000000000115023e-06
1.630193,32834,-1,3.999999999892978e-06
1.630197,32834,-1,3.999999999892978e-06
1.630201,32834,-1,4.000000000115023e-06
1.630364,66,1,0.00016299999999991321
1.630371,32834,-1,7.000000000090267e-06
1.630374,32834,-1,2.9999999999752447e-06
1.630377,32834,-1,2.9999999999752447e-06
1.630379,32834,-1,2.0000000000575113e-06
1.630381,32834,-1,2.0000000000575113e-06
1.630383,32834,-1,1.9999999998354667e-06
1.630386,32834,-1,2.9999999999752447e-06
1.630388,32834,-1,2.0000000000575113e-06
1.630391,32834,-1,2.9999999999752447e-06
1.630393,32834,-1,2.0000000000575113e-06
1.630396,32834,-1,2.9999999999752447e-06
1.630413,66,1,1.6999999999933735e-05
1.630416,32834,-1,3.0000000001972893e-06
1.630627,66,1,0.00021099999999996122
1.630634,32834,-1,6.999999999868223e-06
1.630637,32834,-1,2.9999999999752447e-06
1.630639,32834,-1,2.0000000000575113e-06
1.630643,65549,-1,4.000000000115023e-06
1.630646,65549,-1,2.9999999999752447e-06
1.630651,65549,-1,5.000000000032756e-06
1.630655,65549,-1,3.999999999892978e-06
1.630659,65549,-1,4.000000000115023e-06
1.630677,66,1,1.7999999999851468e-05
1.630679,66,1,2.0000000000575113e-06
1.631407,66,1,0.0007280000000000619
1.631412,46374,-1,5.000000000032756e-06
1.631415,66,1,2.9999999999752447e-06
3.079614,96,0,1.4481989999999998
3.079623,96,0,9.000000000369823e-06
3.079868,160,0,0.00024499999999960664
3.079914,208,0,4.600000000021254e-05
3.099346,74,1,0.019432000000000116
3.099353,74,-1,6.999999999646178e-06
3.099359,66,1,6.000000000394579e-06
4.536113,96,0,1.436754
4.536121,96,0,7.999999999341867e-06
4.536322,160,0,0.00020100000000056184
4.536369,208,0,4.699999999946414e-05
4.556605,74,1,0.020236000000000587
4.556612,74,-1,7.000000000090267e-06
4.556618,66,1,5.999999999950489e-06
4.938351,90,0,0.38173299999999966
4.938376,90,0,2.4999999999941735e-05
4.942789,197,0,0.004413000000000444
4.953774,133,0,0.0109849999999998
4.95378,161,0,5.999999999950489e-06
5.241536,32834,1,0.2877559999999999
5.241548,66,-1,1.1999999999900979e-05
5.241559,32834,1,1.09999999997612e-05
5.241687,66,-1,0.000128000000000128
5.241702,32834,1,1.5000000000320313e-05
5.24171,32834,1,8.000000000230045e-06
5.241719,66,-1,8.999999999481645e-06
5.241721,66,-1,2.000000000279556e-06
5.241787,32834,1,6.600000000034356e-05
5.24179,66,-1,2.9999999995311555e-06
5.241794,32834,1,3.9999999996709334e-06
5.241797,66,-1,3.000000000419334e-06
5.241801,32834,1,3.9999999996709334e-06
5.241804,66,-1,3.000000000419334e-06
5.241808,32834,1,3.9999999996709334e-06
5.241811,66,-1,3.000000000419334e-06
5.241814,32834,1,2.9999999995311555e-06
5.241817,66,-1,3.000000000419334e-06
5.241821,32834,1,3.9999999996709334e-06
5.241824,66,-1,3.000000000419334e-06
5.241827,32834,1,2.9999999995311555e-06
5.24183,66,-1,3.000000000419334e-06
5.241834,32834,1,3.9999999996709334e-06
5.241836,66,-1,2.000000000279556e-06
5.24184,32834,1,3.9999999996709334e-06
5.241845,32834,1,4.999999999810711e-06
5.241851,32834,1,5.999999999950489e-06
5.241856,32834,1,5.00000000069889e-06
5.241861,32834,1,4.999999999810711e-06
5.241866,32834,1,4.999999999810711e-06
5.241871,32834,1,4.999999999810711e-06
5.241877,32834,1,5.999999999950489e-06
5.241882,32834,1,5.00000000069889e-06
5.241887,32834,1,4.999999999810711e-06
5.241892,32834,1,4.999999999810711e-06
5.241897,32834,1,4.999999999810711e-06
5.241902,32834,1,4.999999999810711e-06
5.241917,66,-1,1.5000000000320313e-05
5.24192,66,-1,3.000000000419334e-06
5.241921,66,-1,9.999999992515995e-07
5.241922,66,-1,1.000000000139778e-06
5.241923,66,-1,1.000000000139778e-06
5.241924,66,-1,1.000000000139778e-06
5.241925,66,-1,1.000000000139778e-06
5.241927,66,-1,1.9999999993913775e-06
5.241928,66,-1,1.000000000139778e-06
5.241929,66,-1,1.000000000139778e-06
5.24193,66,-1,1.000000000139778e-06
5.241931,66,-1,1.000000000139778e-06
5.24207,32834,1,0.0001389999999998892
5.242074,66,-1,3.9999999996709334e-06
5.242078,32834,1,4.000000000559112e-06
5.242081,66,-1,2.9999999995311555e-06
5.242085,32834,1,4.000000000559112e-06
5.242088,66,-1,2.9999999995311555e-06
5.242092,32834,1,4.000000000559112e-06
5.242097,32834,1,4.999999999810711e-06
5.242101,32834,1,3.9999999996709334e-06
5.242106,32834,1,4.999999999810711e-06
5.242109,32834,1,3.000000000419334e-06
5.242113,32834,1,3.9999999996709334e-06
5.242117,32834,1,4.000000000559112e-06
5.24212,32834,1,2.9999999995311555e-06
5.242124,32834,1,3.9999999996709334e-06
5.242128,32834,1,4.000000000559112e-06
5.242132,32834,1,3.9999999996709334e-06
5.242136,32834,1,4.000000000559112e-06
5.24214,32834,1,3.9999999996709334e-06
5.242144,32834,1,3.9999999996709334e-06
5.242148,32834,1,4.000000000559112e-06
5.242152,32834,1,3.9999999996709334e-06
5.242156,32834,1,3.9999999996709334e-06
5.24216,32834,1,4.000000000559112e-06
5.242164,32834,1,3.9999999996709334e-06
5.24217,65549,1,5.999999999950489e-06
5.242177,65549,1,7.000000000090267e-06
5.242673,66,-1,0.000496000000000052
5.242693,65549,1,2.0000000000131024e-05
5.242698,65549,1,4.999999999810711e-06
5.242702,65549,1,4.000000000559112e-06
5.242706,65549,1,3.9999999996709334e-06
5.24271,65549,1,3.9999999996709334e-06
5.242714,65549,1,4.000000000559112e-06
5.242717,65549,1,2.9999999995311555e-06
5.24279,65549,1,7.300000000043383e-05
5.242721,65549,1,-6.899999999987472e-05
5.242725,65549,1,3.9999999996709334e-06
5.242728,65549,1,2.9999999995311555e-06
5.242732,65549,1,4.000000000559112e-06
5.242736,65549,1,3.9999999996709334e-06
5.242809,65549,1,7.300000000043383e-05
5.242739,65549,1,-7.00000000000145e-05
5.242743,65549,1,3.9999999996709334e-06
5.242747,65549,1,3.9999999996709334e-06
5.242751,65549,1,4.000000000559112e-06
5.242825,65549,1,7.399999999968543e-05
5.242754,65549,1,-7.100000000015427e-05
5.242758,65549,1,4.000000000559112e-06
5.242761,65549,1,2.9999999995311555e-06
5.242901,65549,1,0.000140000000000029
5.242946,65549,1,4.500000000007276e-05
5.243024,65549,1,7.800000000024454e-05
5.24309,65549,1,6.599999999945538e-05
5.24314,65549,1,5.000000000077165e-05
5.243216,65549,1,7.599999999996498e-05
5.24326,65549,1,4.399999999993298e-05
5.244681,66,-1,0.0014209999999996725
5.244811,65549,1,0.00013000000000040757
5.244829,65549,1,1.7999999999851468e-05
5.244843,65549,1,1.4000000000180535e-05
5.244857,65549,1,1.3999999999292356e-05
5.244869,65549,1,1.1999999999900979e-05
5.244883,65549,1,1.4000000000180535e-05
5.244899,65549,1,1.600000000046009e-05
5.244912,65549,1,1.3000000000040757e-05
5.244926,65549,1,1.4000000000180535e-05
5.244941,65549,1,1.4999999999432134e-05
5.244956,65549,1,1.5000000000320313e-05
5.244971,65549,1,1.4999999999432134e-05
5.244988,65549,1,1.700000000059987e-05
5.245002,65549,1,1.4000000000180535e-05
5.245016,65549,1,1.3999999999292356e-05
5.245032,65549,1,1.600000000046009e-05
5.245046,65549,1,1.4000000000180535e-05
5.245061,65549,1,1.4999999999432134e-05
5.247637,66,-1,0.0025760000000003558
5.247661,65549,1,2.3999999999801958e-05
5.247666,65549,1,4.999999999810711e-06
5.247671,65549,1,5.00000000069889e-06
5.247675,65549,1,3.9999999996709334e-06
5.247678,65549,1,2.9999999995311555e-06
5.247682,65549,1,4.000000000559112e-06
5.247819,65549,1,0.00013699999999960966
5.247831,65549,1,1.1999999999900979e-05
5.247845,65549,1,1.4000000000180535e-05
5.247859,65549,1,1.4000000000180535e-05
5.247873,65549,1,1.4000000000180535e-05
5.247887,65549,1,1.4000000000180535e-05
5.247902,65549,1,1.4999999999432134e-05
5.247916,65549,1,1.4000000000180535e-05
5.247931,65549,1,1.5000000000320313e-05
5.24795,65549,1,1.8999999999991246e-05
5.247966,65549,1,1.5999999999571912e-05
5.247981,65549,1,1.5000000000320313e-05
5.247996,65549,1,1.4999999999432134e-05
