Time (s),Frame Length,Direction,Interarrival
0.0,96,0,0.0
1.6e-05,96,0,1.6e-05
0.000201,160,0,0.000185
0.000282,208,0,8.100000000000002e-05
0.681008,96,0,0.6807259999999999
0.681016,96,0,8.000000000008e-06
0.681309,160,0,0.00029300000000009874
0.681386,208,0,7.699999999999374e-05
0.701455,74,1,0.020069000000000004
0.701462,74,-1,6.999999999979245e-06
0.70147,66,1,8.000000000008e-06
0.705943,32834,-1,0.004472999999999949
0.705953,66,1,1.0000000000065512e-05
0.705961,32834,-1,7.999999999896978e-06
0.706038,66,1,7.700000000010476e-05
0.706081,32834,-1,4.2999999999904226e-05
0.706087,32834,-1,6.000000000061512e-06
0.706106,66,1,1.8999999999991246e-05
0.706126,32834,-1,2.0000000000020002e-05
0.706129,66,1,2.9999999999752447e-06
0.706133,32834,-1,4.000000000004e-06
0.706139,66,1,5.999999999950489e-06
0.706139,32834,-1,0.0
0.706145,32834,-1,6.000000000061512e-06
0.706147,66,1,1.999999999946489e-06
0.706149,66,1,2.0000000000575113e-06
0.70615,32834,-1,1.0000000000287557e-06
0.706156,32834,-1,5.999999999950489e-06
0.706162,32834,-1,5.999999999950489e-06
0.706168,32834,-1,6.000000000061512e-06
0.706168,66,1,0.0
0.706169,66,1,1.0000000000287557e-06
0.706171,66,1,1.999999999946489e-06
0.706172,66,1,1.0000000000287557e-06
0.706173,32834,-1,1.0000000000287557e-06
0.706179,32834,-1,5.999999999950489e-06
0.706184,32834,-1,5.000000000032756e-06
0.70619,32834,-1,5.999999999950489e-06
0.706195,32834,-1,5.000000000032756e-06
0.7062,32834,-1,5.000000000032756e-06
0.706208,32834,-1,7.999999999896978e-06
0.706212,66,1,4.000000000004e-06
0.706213,32834,-1,1.0000000000287557e-06
0.706213,66,1,0.0
0.706214,66,1,1.0000000000287557e-06
0.706215,66,1,1.0000000000287557e-06
0.706217,66,1,1.999999999946489e-06
0.706218,66,1,1.0000000000287557e-06
0.706218,32834,-1,0.0
