Time (s),Frame Length,Direction,Interarrival
0.0,96,0,0.0
1e-05,96,0,1e-05
0.000365,160,0,0.00035499999999999996
0.000503,208,0,0.000138
0.979344,96,0,0.978841
0.979352,96,0,8.000000000008e-06
0.979561,160,0,0.00020900000000001473
0.979621,208,0,5.999999999994898e-05
1.055058,74,1,0.07543700000000009
1.055075,74,-1,1.6999999999933735e-05
1.055091,66,1,1.6000000000016e-05
1.06739,32834,-1,0.01229900000000006
1.067407,66,1,1.6999999999933735e-05
1.067424,32834,-1,1.6999999999933735e-05
1.067598,66,1,0.0001740000000001185
1.067658,32834,-1,5.999999999994898e-05
1.067673,32834,-1,1.5000000000098268e-05
1.067801,66,1,0.00012799999999990597
1.067819,32834,-1,1.8000000000073513e-05
1.067826,32834,-1,6.999999999868223e-06
1.06784,66,1,1.399999999995849e-05
1.067847,32834,-1,7.000000000090267e-06
1.067853,32834,-1,5.999999999950489e-06
1.06786,32834,-1,7.000000000090267e-06
1.067866,32834,-1,5.999999999950489e-06
1.067885,66,1,1.8999999999991246e-05
1.067892,32834,-1,7.000000000090267e-06
1.067898,32834,-1,5.999999999950489e-06
1.067904,32834,-1,5.999999999950489e-06
1.06791,32834,-1,5.999999999950489e-06
1.067916,32834,-1,6.000000000172534e-06
1.067941,66,1,2.4999999999941735e-05
1.067951,32834,-1,1.0000000000065512e-05
1.067957,32834,-1,5.999999999950489e-06
1.067963,32834,-1,5.999999999950489e-06
1.06798,66,1,1.6999999999933735e-05
1.067989,32834,-1,9.000000000147779e-06
1.067996,32834,-1,6.999999999868223e-06
1.068007,66,1,1.0999999999983245e-05
1.068015,32834,-1,8.000000000008e-06
1.068022,32834,-1,7.000000000090267e-06
1.068034,66,1,1.1999999999900979e-05
1.068042,32834,-1,8.000000000008e-06
1.068048,32834,-1,6.000000000172534e-06
1.06806,66,1,1.1999999999900979e-05
1.068068,32834,-1,8.000000000008e-06
1.068075,32834,-1,7.000000000090267e-06
1.068087,66,1,1.1999999999900979e-05
1.068095,32834,-1,8.000000000008e-06
1.068103,32834,-1,8.000000000008e-06
1.068114,66,1,1.0999999999983245e-05
1.068122,32834,-1,8.000000000008e-06
1.068129,32834,-1,7.000000000090267e-06
1.06814,66,1,1.0999999999983245e-05
1.068147,32834,-1,6.999999999868223e-06
1.068155,66,1,8.000000000008e-06
1.068162,32834,-1,7.000000000090267e-06
1.06817,66,1,8.000000000008e-06
1.068177,32834,-1,6.999999999868223e-06
1.068184,66,1,7.000000000090267e-06
1.068191,32834,-1,6.999999999868223e-06
1.068933,66,1,0.0007420000000000204
1.068949,32834,-1,1.6000000000016e-05
1.068955,32834,-1,6.000000000172534e-06
1.068964,32834,-1,8.999999999925734e-06
1.06897,32834,-1,5.999999999950489e-06
1.068976,32834,-1,5.999999999950489e-06
1.068997,66,1,2.1000000000048757e-05
1.069002,66,1,5.000000000032756e-06
1.069006,66,1,3.999999999892978e-06
1.069009,66,1,3.0000000001972893e-06
1.069013,66,1,3.999999999892978e-06
1.069016,1993,-1,2.9999999999752447e-06
1.06902,66,1,4.000000000115023e-06
2.47282,32834,1,1.4038
2.472833,66,-1,1.3000000000040757e-05
2.472844,32834,1,1.09999999997612e-05
2.472978,66,-1,0.0001340000000000785
2.47299,32834,1,1.1999999999900979e-05
2.472997,32834,1,7.000000000090267e-06
2.47301,66,-1,1.3000000000040757e-05
2.473012,66,-1,2.000000000279556e-06
2.473078,32834,1,6.599999999989947e-05
2.473081,66,-1,2.9999999999752447e-06
2.473085,32834,1,4.000000000115023e-06
2.473088,66,-1,2.9999999999752447e-06
2.473092,32834,1,3.9999999996709334e-06
2.473095,66,-1,2.9999999999752447e-06
2.473099,32834,1,4.000000000115023e-06
2.473102,66,-1,2.9999999999752447e-06
2.473105,32834,1,2.9999999999752447e-06
2.473108,66,-1,2.9999999999752447e-06
2.473112,32834,1,4.000000000115023e-06
2.473115,66,-1,2.9999999999752447e-06
2.473118,32834,1,2.9999999999752447e-06
2.473121,66,-1,2.9999999999752447e-06
2.473125,32834,1,4.000000000115023e-06
2.473127,66,-1,1.9999999998354667e-06
2.473131,32834,1,4.000000000115023e-06
2.473133,66,-1,1.9999999998354667e-06
2.473137,32834,1,4.000000000115023e-06
2.473142,32834,1,5.000000000254801e-06
2.473147,32834,1,4.999999999810711e-06
2.473152,32834,1,4.999999999810711e-06
2.473157,32834,1,5.000000000254801e-06
2.473162,32834,1,4.999999999810711e-06
2.473169,32834,1,7.000000000090267e-06
2.473175,32834,1,5.999999999950489e-06
2.47318,32834,1,5.000000000254801e-06
2.473185,32834,1,4.999999999810711e-06
2.47319,32834,1,5.000000000254801e-06
2.473196,32834,1,5.999999999950489e-06
2.473202,32834,1,5.999999999950489e-06
2.473207,32834,1,4.999999999810711e-06
2.473238,66,-1,3.0999999999892225e-05
2.473243,66,-1,5.000000000254801e-06
2.473244,66,-1,1.000000000139778e-06
2.473245,66,-1,9.999999996956888e-07
2.473246,66,-1,1.000000000139778e-06
2.473247,66,-1,1.000000000139778e-06
2.473248,66,-1,9.999999996956888e-07
2.473249,66,-1,1.000000000139778e-06
2.473251,66,-1,1.9999999998354667e-06
2.473253,66,-1,2.000000000279556e-06
2.473254,66,-1,9.999999996956888e-07
2.473362,32834,1,0.00010799999999999699
2.473368,32834,1,5.999999999950489e-06
2.473373,32834,1,5.000000000254801e-06
2.473377,32834,1,4.000000000115023e-06
2.473381,32834,1,3.9999999996709334e-06
2.473384,32834,1,2.9999999999752447e-06
2.473388,32834,1,4.000000000115023e-06
2.473391,32834,1,2.9999999999752447e-06
2.473395,32834,1,4.000000000115023e-06
2.473396,66,-1,1.000000000139778e-06
2.473398,66,-1,1.9999999998354667e-06
2.473399,66,-1,1.000000000139778e-06
2.473399,32834,1,0.0
2.473403,32834,1,3.9999999996709334e-06
2.473407,32834,1,4.000000000115023e-06
2.473411,32834,1,4.000000000115023e-06
2.473414,32834,1,2.9999999999752447e-06
2.473418,32834,1,4.000000000115023e-06
2.473422,32834,1,3.9999999996709334e-06
2.473426,32834,1,4.000000000115023e-06
2.47343,32834,1,4.000000000115023e-06
2.473434,32834,1,4.000000000115023e-06
2.473438,32834,1,3.9999999996709334e-06
2.473443,65549,1,5.000000000254801e-06
2.47345,65549,1,7.000000000090267e-06
2.473502,66,-1,5.199999999971894e-05
2.473579,65549,1,7.700000000010476e-05
2.473588,65549,1,8.999999999925734e-06
2.473594,65549,1,5.999999999950489e-06
2.4736,65549,1,5.999999999950489e-06
2.473612,65549,1,1.2000000000345068e-05
2.47386,66,-1,0.000248000000000026
2.473881,65549,1,2.0999999999826713e-05
2.473889,65549,1,7.999999999785956e-06
2.473895,65549,1,6.000000000394579e-06
2.473901,65549,1,5.999999999950489e-06
2.473907,65549,1,5.999999999950489e-06
2.473913,65549,1,5.999999999950489e-06
2.473919,65549,1,5.999999999950489e-06
2.473926,65549,1,7.000000000090267e-06
2.473932,65549,1,5.999999999950489e-06
2.473938,65549,1,5.999999999950489e-06
2.473945,65549,1,7.000000000090267e-06
2.473951,65549,1,5.999999999950489e-06
2.473968,65549,1,1.700000000015578e-05
2.47402,66,-1,5.199999999971894e-05
2.47403,65549,1,1.0000000000065512e-05
2.474037,65549,1,7.000000000090267e-06
2.474045,65549,1,7.999999999785956e-06
2.474465,66,-1,0.00042000000000008697
2.474478,65549,1,1.3000000000040757e-05
2.474485,65549,1,7.000000000090267e-06
2.474489,65549,1,4.000000000115023e-06
2.474494,65549,1,4.999999999810711e-06
2.474498,65549,1,4.000000000115023e-06
2.474502,65549,1,4.000000000115023e-06
2.474506,65549,1,3.9999999996709334e-06
2.47451,65549,1,4.000000000115023e-06
2.474513,65549,1,2.9999999999752447e-06
2.474517,65549,1,4.000000000115023e-06
2.474521,65549,1,4.000000000115023e-06
2.474525,65549,1,3.9999999996709334e-06
2.474529,65549,1,4.000000000115023e-06
2.474533,65549,1,4.000000000115023e-06
2.474537,65549,1,4.000000000115023e-06
2.474541,65549,1,3.9999999996709334e-06
2.474545,65549,1,4.000000000115023e-06
