Time (s),Frame Length,Direction,Interarrival
0.0,74,1,0.0
9e-06,74,-1,9e-06
1.6e-05,66,1,6.999999999999999e-06
0.004483,32834,-1,0.004467
0.004491,66,1,8.000000000000194e-06
0.0045,32834,-1,8.99999999999946e-06
0.004556,66,1,5.6000000000000494e-05
0.004571,32834,-1,1.5000000000000256e-05
0.004577,32834,-1,5.999999999999929e-06
0.004657,66,1,7.999999999999934e-05
0.004674,32834,-1,1.700000000000052e-05
0.004677,66,1,2.999999999999531e-06
0.004681,32834,-1,4.000000000000531e-06
0.004684,66,1,2.999999999999531e-06
0.004689,32834,-1,4.999999999999796e-06
0.004693,66,1,4.000000000000531e-06
0.004697,32834,-1,3.9999999999996635e-06
0.004702,66,1,4.999999999999796e-06
0.004703,32834,-1,1.0000000000001327e-06
0.004708,66,1,5.000000000000664e-06
0.004708,32834,-1,0.0
0.004712,66,1,3.9999999999996635e-06
0.004714,32834,-1,2.0000000000002655e-06
0.004718,66,1,3.9999999999996635e-06
0.004721,32834,-1,3.000000000000398e-06
0.004724,66,1,2.999999999999531e-06
0.004728,32834,-1,4.000000000000531e-06
0.004731,66,1,2.999999999999531e-06
0.004736,32834,-1,4.999999999999796e-06
0.004738,66,1,2.0000000000002655e-06
0.004743,32834,-1,4.999999999999796e-06
0.004751,32834,-1,8.000000000000194e-06
0.004754,66,1,3.000000000000398e-06
0.004755,66,1,9.999999999992654e-07
0.004757,32834,-1,2.0000000000002655e-06
0.004763,66,1,5.999999999999929e-06
0.004763,32834,-1,0.0
0.004767,66,1,4.000000000000531e-06
0.004769,32834,-1,1.999999999999398e-06
0.004772,66,1,3.000000000000398e-06
0.004776,32834,-1,3.9999999999996635e-06
0.004779,66,1,3.000000000000398e-06
0.004783,32834,-1,3.9999999999996635e-06
0.004786,66,1,3.000000000000398e-06
0.004789,32834,-1,2.999999999999531e-06
0.004792,66,1,3.000000000000398e-06
0.004796,32834,-1,3.9999999999996635e-06
0.004802,32834,-1,5.999999999999929e-06
0.004808,32834,-1,5.999999999999929e-06
0.004814,32834,-1,5.999999999999929e-06
0.00482,32834,-1,5.999999999999929e-06
0.004826,32834,-1,6.000000000000796e-06
0.004831,32834,-1,4.999999999999796e-06
0.004836,32834,-1,4.999999999999796e-06
0.004841,66,1,4.999999999999796e-06
0.004841,32834,-1,0.0
0.004854,65549,-1,1.299999999999999e-05
0.004858,66,1,4.000000000000531e-06
0.00486,66,1,1.999999999999398e-06
0.004908,65549,-1,4.80000000000003e-05
0.005029,66,1,0.00012099999999999958
0.614882,75,0,0.6098530000000001
0.614926,75,0,4.399999999993298e-05
0.61612,139,0,0.0011940000000000284
0.622243,75,0,0.0061229999999999896
0.622249,103,0,6.000000000061512e-06
1.806786,74,1,1.184537
1.806799,74,-1,1.3000000000040757e-05
1.806809,66,1,1.0000000000065512e-05
3.041767,74,1,1.234958
3.041776,74,-1,8.999999999925734e-06
