Time (s),Frame Length,Direction,Interarrival
0.0,74,1,0.0
9e-06,74,-1,9e-06
1.6e-05,66,1,6.999999999999999e-06
0.012625,32834,-1,0.012609
0.012638,66,1,1.2999999999999123e-05
0.01265,32834,-1,1.1999999999999858e-05
0.012762,66,1,0.00011200000000000099
0.012811,32834,-1,4.89999999999987e-05
0.012818,32834,-1,7.000000000000062e-06
0.012882,66,1,6.399999999999982e-05
0.012923,32834,-1,4.1000000000001105e-05
0.012927,66,1,3.999999999998796e-06
0.012931,32834,-1,4.000000000000531e-06
0.012934,66,1,2.999999999999531e-06
0.012939,32834,-1,5.000000000001531e-06
0.012942,66,1,2.999999999999531e-06
0.012946,32834,-1,3.999999999998796e-06
0.012953,66,1,7.000000000000062e-06
0.012956,32834,-1,3.0000000000012655e-06
0.012959,66,1,2.999999999999531e-06
0.012963,32834,-1,4.000000000000531e-06
0.012966,66,1,2.999999999999531e-06
0.012969,32834,-1,2.999999999999531e-06
0.012972,66,1,2.999999999999531e-06
0.012976,32834,-1,4.000000000000531e-06
0.012978,66,1,2.0000000000002655e-06
0.012995,32834,-1,1.6999999999999654e-05
0.012998,66,1,2.999999999999531e-06
0.013002,32834,-1,4.000000000000531e-06
0.013007,32834,-1,4.999999999999796e-06
0.013015,32834,-1,8.000000000001062e-06
0.01302,32834,-1,4.999999999999796e-06
0.013026,32834,-1,5.999999999999062e-06
0.013032,32834,-1,6.000000000000796e-06
0.013035,66,1,2.999999999999531e-06
0.013038,32834,-1,2.999999999999531e-06
0.013038,66,1,0.0
0.01304,66,1,2.0000000000002655e-06
0.013041,66,1,1.000000000001e-06
0.013042,66,1,9.999999999992654e-07
0.013043,66,1,1.000000000001e-06
0.013044,32834,-1,9.999999999992654e-07
0.013045,66,1,9.999999999992654e-07
0.01305,32834,-1,5.000000000001531e-06
0.013056,32834,-1,5.999999999999062e-06
0.013062,32834,-1,6.000000000000796e-06
0.013066,66,1,3.999999999998796e-06
0.013067,66,1,1.000000000001e-06
0.013068,32834,-1,9.999999999992654e-07
0.013068,66,1,0.0
0.013069,66,1,1.000000000001e-06
0.013074,32834,-1,4.999999999999796e-06
0.01308,32834,-1,5.999999999999062e-06
0.013082,66,1,2.0000000000002655e-06
0.013083,66,1,9.999999999992654e-07
0.013084,66,1,1.000000000001e-06
0.013086,32834,-1,2.0000000000002655e-06
0.013093,32834,-1,7.000000000000062e-06
0.013094,66,1,9.999999999992654e-07
0.013098,32834,-1,4.000000000000531e-06
0.013102,66,1,4.000000000000531e-06
0.013107,32834,-1,4.999999999999796e-06
0.013109,66,1,2.0000000000002655e-06
0.013113,32834,-1,3.999999999998796e-06
0.013117,32834,-1,4.000000000000531e-06
0.01312,32834,-1,2.999999999999531e-06
0.013124,32834,-1,4.000000000000531e-06
0.013168,65549,-1,4.39999999999989e-05
0.013222,65549,-1,5.400000000000023e-05
0.013253,65549,-1,3.099999999999978e-05
